==28560== NVPROF is profiling process 28560, command: ./b+tree file ../../data/b+tree/mil.txt command ../../data/b+tree/command.txt
==28560== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==28560== Profiling application: ./b+tree file ../../data/b+tree/mil.txt command ../../data/b+tree/command.txt
==28560== Profiling result:
==28560== Metric result:
"Device","Kernel","Invocations","Metric Name","Metric Description","Min","Max","Avg"
"GeForce GTX 1080 (0)","findK",1,"local_store_transactions_per_request","Local Memory Store Transactions Per Request",0.000000,0.000000,0.000000
"GeForce GTX 1080 (0)","findK",1,"gld_transactions_per_request","Global Load Transactions Per Request",5.497523,5.497523,5.497523
"GeForce GTX 1080 (0)","findK",1,"gst_transactions_per_request","Global Store Transactions Per Request",1.000000,1.000000,1.000000
"GeForce GTX 1080 (0)","findK",1,"shared_store_transactions","Shared Store Transactions",0,0,0
"GeForce GTX 1080 (0)","findK",1,"shared_load_transactions","Shared Load Transactions",0,0,0
"GeForce GTX 1080 (0)","findK",1,"local_load_transactions","Local Load Transactions",0,0,0
"GeForce GTX 1080 (0)","findK",1,"local_store_transactions","Local Store Transactions",0,0,0
"GeForce GTX 1080 (0)","findK",1,"gld_transactions","Global Load Transactions",4615682,4615682,4615682
"GeForce GTX 1080 (0)","findK",1,"gst_transactions","Global Store Transactions",50000,50000,50000
"GeForce GTX 1080 (0)","findK",1,"sysmem_read_transactions","System Memory Read Transactions",0,0,0
"GeForce GTX 1080 (0)","findK",1,"sysmem_write_transactions","System Memory Write Transactions",5,5,5
"GeForce GTX 1080 (0)","findK",1,"l2_read_transactions","L2 Read Transactions",1894314,1894314,1894314
"GeForce GTX 1080 (0)","findK",1,"l2_write_transactions","L2 Write Transactions",50013,50013,50013
"GeForce GTX 1080 (0)","findK",1,"global_hit_rate","Global Hit Rate",58.966801%,58.966801%,58.966801%
"GeForce GTX 1080 (0)","findK",1,"local_hit_rate","Local Hit Rate",0.000000%,0.000000%,0.000000%
"GeForce GTX 1080 (0)","findK",1,"gld_requested_throughput","Requested Global Load Throughput",110.508599GB/s,110.508599GB/s,110.507943GB/s
"GeForce GTX 1080 (0)","findK",1,"gst_requested_throughput","Requested Global Store Throughput",1.050130GB/s,1.050130GB/s,1.049601GB/s
"GeForce GTX 1080 (0)","findK",1,"gld_throughput","Global Load Throughput",176.791710GB/s,176.791710GB/s,176.791102GB/s
